X,Y,Z,class
0.01,-0.04,0.89,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.02,-0.05,0.97,1
0.01,-0.05,0.97,1
0.02,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.02,-0.05,0.97,1
0.01,-0.05,0.97,1
0.02,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.02,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.97,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.97,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.00,-0.04,0.98,1
0.03,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.03,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.00,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.00,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.00,-0.05,0.98,1
0.03,-0.05,0.99,1
0.02,-0.05,0.98,1
0.00,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.06,0.98,1
0.01,-0.03,0.98,1
0.02,-0.06,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.97,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.03,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.99,1
0.01,-0.05,0.98,1
0.01,-0.03,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.04,0.98,1
0.03,-0.05,0.99,1
0.01,-0.05,0.98,1
0.03,-0.04,0.99,1
0.00,-0.05,0.98,1
0.03,-0.04,0.98,1
0.02,-0.05,0.98,1
0.00,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.00,-0.05,1.00,1
0.03,-0.05,0.97,1
-0.01,-0.04,0.94,1
-0.01,-0.04,1.00,1
0.01,-0.05,0.97,1
0.00,-0.05,0.99,1
-0.01,-0.04,0.99,1
0.03,-0.05,1.00,1
-0.01,-0.04,0.97,1
0.01,-0.05,0.99,1
0.02,-0.04,0.98,1
-0.01,-0.05,0.97,1
0.00,-0.04,0.98,1
0.03,-0.05,0.99,1
-0.01,-0.04,0.97,1
0.01,-0.05,0.99,1
0.02,-0.05,0.98,1
0.03,-0.05,0.98,1
0.02,-0.04,0.99,1
0.00,-0.04,0.98,1
0.03,-0.05,0.99,1
0.01,-0.04,0.98,1
0.04,-0.05,0.99,1
0.04,-0.05,0.98,1
-0.01,-0.04,0.97,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
-0.02,-0.04,0.97,1
0.04,-0.05,0.99,1
0.00,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
-0.02,-0.05,0.98,1
0.04,-0.05,0.99,1
0.01,-0.05,0.98,1
0.00,-0.05,0.98,1
0.02,-0.05,0.99,1
-0.02,-0.05,0.97,1
0.03,-0.04,0.99,1
0.03,-0.05,0.98,1
-0.01,-0.04,0.98,1
0.04,-0.05,0.99,1
0.00,-0.05,0.97,1
0.02,-0.05,0.98,1
0.03,-0.05,0.98,1
-0.01,-0.04,0.98,1
0.03,-0.05,0.99,1
0.00,-0.05,0.97,1
0.02,-0.05,0.99,1
0.02,-0.05,0.98,1
0.00,-0.04,0.98,1
0.02,-0.05,0.99,1
0.00,-0.05,0.97,1
0.02,-0.04,0.99,1
0.02,-0.05,0.98,1
0.00,-0.04,0.97,1
0.03,-0.05,0.99,1
0.00,-0.04,0.98,1
0.01,-0.04,0.98,1
0.04,-0.05,0.99,1
0.01,-0.05,0.98,1
0.00,-0.04,0.97,1
0.04,-0.05,0.99,1
0.01,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.99,1
0.01,-0.04,0.98,1
0.03,-0.05,0.99,1
0.02,-0.04,0.98,1
0.00,-0.05,0.98,1
0.03,-0.05,0.99,1
0.00,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.00,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.99,1
0.02,-0.04,0.98,1
0.03,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
-0.01,-0.05,0.98,1
0.03,-0.04,0.99,1
0.00,-0.05,0.98,1
0.01,-0.05,0.98,1
0.03,-0.05,0.99,1
0.00,-0.05,0.98,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.99,1
0.01,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.02,-0.04,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.05,0.98,1
0.01,-0.05,0.99,1
0.03,-0.05,0.98,1
0.00,-0.05,0.98,1
0.02,-0.04,0.98,1
0.02,-0.05,0.98,1
0.00,-0.04,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.00,-0.05,0.98,1
0.02,-0.05,0.98,1
0.00,-0.05,0.98,1
0.01,-0.05,0.98,1
0.02,-0.05,0.98,1
0.01,-0.04,0.98,1
0.01,-0.05,0.99,1
0.03,-0.05,0.98,1
